thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,Linear_vel,lift
0.00251985461209986,0.129083803545863,4.36727178498082,0,0,0,0,-0.064672
0.00255877873710113,0.130397222512664,4.38837208035118,0,0,0,0,-0.065603
0.00259809785864398,0.131716968692384,4.40945087967219,0,0,0,0,-0.066452
0.00263781387402716,0.133043035620362,4.43050807969122,0,0,0,0,-0.068011
0.00267792867860525,0.134375416800979,4.45154357726145,0,0,0,0,-0.068047
0.00271844416577944,0.135714105707684,4.47255726934238,0,0,0,0,-0.069554
0.00275936222698816,0.137059095783029,4.4935490530003,0,0,0,0,-0.070268
0.00280068475169789,0.1384103804387,4.51451882540884,0,0,0,0,-0.072334
0.0028424136273939,0.139767953055548,4.53546648384943,0,0,0,0,-0.072497
0.00288455073957093,0.141131806983627,4.55639192571185,0,0,0,0,-0.073906
0.0029270979717241,0.142501935542219,4.57729504849467,0,0,0,0,-0.073284
0.00297005720533951,0.143878332019871,4.59817574980582,0,0,0,0,-0.077264
0.00301343031988514,0.145260989674429,4.61903392736303,0,0,0,0,-0.076052
0.00305721919280161,0.146649901733066,4.6398694789944,0,0,0,0,-0.076712
0.00310142569949297,0.148045061392321,4.66068230263882,0,0,0,0,-0.074655
0.00314605171331758,0.149446461818129,4.68147229634654,0,0,0,0,-0.076821
0.00319109910557882,0.150854096145855,4.70223935827962,0,0,0,0,-0.077345
0.00323656974551601,0.152267957480327,4.72298338671246,0,0,0,0,-0.079788
0.00328246550029524,0.153688038895873,4.7437042800323,0,0,0,0,-0.079808
0.00332878823500018,0.155114333436348,4.76440193673967,0,0,0,0,-0.083255
0.00337553981262302,0.156546834115178,4.78507625544897,0,0,0,0,-0.084401
0.00342272209405527,0.157985533915385,4.80572713488886,0,0,0,0,-0.082839
0.00347033693807869,0.159430425789626,4.82635447390288,0,0,0,0,-0.084239
0.00351838620135616,0.160881502660227,4.84695817144983,0,0,0,0,-0.079425
0.00356687173842263,0.162338757419218,4.86753812660434,0,0,0,0,-0.086243
0.00361579540167593,0.163802182928367,4.88809423855734,0,0,0,0,-0.085095
0.00366515904136781,0.165271772019213,4.90862640661654,0,0,0,0,-0.089173
0.00371496450559489,0.166747517493106,4.92913453020695,0,0,0,0,-0.084535
0.00376521364028947,0.168229412121238,4.94961850887135,0,0,0,0,-0.089243
0.00381590828921058,0.169717448644681,4.97007824227081,0,0,0,0,-0.086599
0.00386705029393497,0.17121161977442,4.99051363018514,0,0,0,0,-0.092329
0.00391864149384806,0.172711918191391,5.01092457251341,0,0,0,0,-0.087559
0.00397068372613488,0.174218336546516,5.03131096927444,0,0,0,0,-0.096184
0.00402317882577119,0.175730867460738,5.05167272060729,0,0,0,0,-0.087374
0.00407612862551435,0.177249503525062,5.07200972677174,0,0,0,0,-0.097948
0.00412953495589443,0.178774237300582,5.09232188814877,0,0,0,0,-0.090497
0.00418339964520529,0.180305061318526,5.11260910524107,0,0,0,0,-0.10083
0.00423772451949543,0.18184196808029,5.13287127867352,0,0,0,0,-0.09297
0.00429251140255932,0.183384950057473,5.15310830919366,0,0,0,0,-0.102196
0.00434776211592822,0.184933999691915,5.17332009767222,0,0,0,0,-0.090145
0.00440347847886139,0.186489109395735,5.19350654510353,0,0,0,0,-0.101371
0.00445966230833714,0.188050271551365,5.2136675526061,0,0,0,0,-0.093888
0.00451631541904398,0.189617478511594,5.23380302142302,0,0,0,0,-0.099225
0.00457343962337165,0.191190722599597,5.2539128529225,0,0,0,0,-0.093744
0.00463103673140225,0.192769996108978,5.27399694859831,0,0,0,0,-0.098179
