thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W,W_dot_plus,lift
0.00378973413824075,0.151577206488874,3.97999640188544,0,0,0,0,0,-0.113477
0.0038468599199023,0.153073193304632,3.99803017899907,0,0,0,0,0,-0.106824
0.00390454800378966,0.154575937531689,4.01603335514503,0,0,0,0,0,-0.114333
0.00396280092195626,0.156085427668022,4.0340057925268,0,0,0,0,0,-0.112163
0.00402162120213231,0.157601652159979,4.05194735358315,0,0,0,0,0,-0.11424
0.00408101136770533,0.159124599402359,4.06985790098916,0,0,0,0,0,-0.114124
0.00414097393770106,0.160654257738508,4.08773729765731,0,0,0,0,0,-0.118002
0.00420151142676394,0.162190615460403,4.10558540673849,0,0,0,0,0,-0.119588
0.00426262634513805,0.163733660808745,4.12340209162308,0,0,0,0,0,-0.122345
0.00432432119864778,0.165283381973049,4.14118721594197,0,0,0,0,0,-0.117578
0.0043865984886787,0.16683976709173,4.15894064356762,0,0,0,0,0,-0.123012
0.00444946071215839,0.1684028042522,4.1766622386151,0,0,0,0,0,-0.118199
0.00451291036153737,0.169972481490955,4.19435186544312,0,0,0,0,0,-0.119067
0.00457694992476996,0.171548786793668,4.21200938865509,0,0,0,0,0,-0.119805
0.0046415818852953,0.173131708095279,4.22963467310011,0,0,0,0,0,-0.118693
0.00470680872201834,0.174721233280093,4.24722758387407,0,0,0,0,0,-0.118669
0.00477263290929079,0.176317350181866,4.26478798632062,0,0,0,0,0,-0.119556
0.0048390569168922,0.1779200465839,4.28231574603226,0,0,0,0,0,-0.119226
0.00490608321001123,0.179529310219139,4.29981072885132,0,0,0,0,0,-0.124147
0.00497371424922649,0.181145128770263,4.317272800871,0,0,0,0,0,-0.121109
0.00504195249048792,0.182767489869777,4.3347018284364,0,0,0,0,0,-0.123695
0.00511080038509796,0.184396381100112,4.35209767814556,0,0,0,0,0,-0.126897
0.00518026037969268,0.186031789993715,4.36946021685045,0,0,0,0,0,-0.128597
0.0052503349162232,0.18767370403315,4.38678931165799,0,0,0,0,0,-0.130082
0.00532102643193689,0.189322110651187,4.40408482993112,0,0,0,0,0,-0.130834
0.00539233735935877,0.190976997230904,4.42134663928972,0,0,0,0,0,-0.125182
0.00546427012627287,0.19263835110578,4.43857460761174,0,0,0,0,0,-0.128773
0.00553682715570364,0.194306159559795,4.45576860303409,0,0,0,0,0,-0.131804
0.00561001086589746,0.195980409827523,4.47292849395375,0,0,0,0,0,-0.129577
0.00568382367030403,0.197661089094235,4.49005414902873,0,0,0,0,0,-0.134127
0.00575826797755801,0.199348184495993,4.50714543717906,0,0,0,0,0,-0.131385
0.0058333461914605,0.201041683119749,4.52420222758783,0,0,0,0,0,-0.129665
0.00590906071096067,0.202741572003446,4.54122438970219,0,0,0,0,0,-0.135351
0.00598541393013743,0.204447838136116,4.55821179323431,0,0,0,0,0,-0.126793
0.00606240823818101,0.206160468457979,4.57516430816242,0,0,0,0,0,-0.140267
0.00614004601937484,0.207879449860543,4.59208180473177,0,0,0,0,0,-0.129991
0.00621832965307709,0.209604769186704,4.60896415345566,0,0,0,0,0,-0.148458
0.00629726151370265,0.211336413230851,4.62581122511641,0,0,0,0,0,-0.133723
0.00637684397070482,0.213074368738959,4.64262289076633,0,0,0,0,0,-0.140557
0.00645707938855729,0.214818622408698,4.65939902172876,0,0,0,0,0,-0.123205
0.0065379701267359,0.216569160889531,4.67613948959899,0,0,0,0,0,-0.131971
0.00661951853970072,0.218325970782817,4.69284416624531,0,0,0,0,0,-0.122346
0.00670172697687795,0.220089038641913,4.70951292380992,0,0,0,0,0,-0.127617
0.00678459778264197,0.221858350972278,4.72614563470997,0,0,0,0,0,-0.121131
0.00686813329629735,0.223633894231576,4.74274217163851,0,0,0,0,0,-0.124345
0.00695233585206104,0.225415654829779,4.75930240756546,0,0,0,0,0,-0.114271
0.00703720777904434,0.227203619129271,4.77582621573858,0,0,0,0,0,-0.114217
0.00712275140123532,0.228997773444954,4.79231346968446,0,0,0,0,0,-0.108407
0.00720896903748073,0.230798104044349,4.80876404320949,0,0,0,0,0,-0.093224
0.00729586300146853,0.232604597147708,4.82517781040077,0,0,0,0,0,-0.087951
0.00738343560171001,0.234417238928111,4.84155464562717,0,0,0,0,0,0.01696
0.00747168914152216,0.236236015511578,4.85789442354019,0,0,0,0,0,0.294392
